Problem,LLM,Explanation,GT # Fix Locations,GT Contained,Test Description,Error Description,Code Intention,NL Fix Suggestion,Fix Code Suggestion,Accurate,Imprecise
tutorial,3.5,1,1,1,Correct,Correct,Correct,Correct+Vague,NE,True,FALSE
tutorial,3.5,2,1,1,NE,Correct,Correct,Correct+Vague,NE,True,FALSE
tutorial,3.5,3,1,1,NE,Correct,Correct,NE,NE,FALSE,True
tutorial,3.5,4,1,1,Correct,Correct,Correct,Vague,NE,True,FALSE
tutorial,3.5,5,1,1,Correct,Correct,Correct,Correct+Vague,Wrong,True,True
tutorial,4,1,1,1,NE,Correct,Correct,Correct,NE,True,FALSE
pandas_22,3.5,1,3,2,NE,Correct,Correct,Correct,NE,True,FALSE
pandas_22,3.5,2,3,1,Correct,Correct,Correct,Partial+,NE,True,FALSE
pandas_22,3.5,3,3,1,NE,Correct,Correct,Partial,NE,True,FALSE
pandas_22,3.5,4,3,1,NE,Correct,Correct,Partial,Partial,True,FALSE
pandas_22,3.5,5,3,1,NE,Correct,NE,Partial+Vague,NE,True,FALSE
pandas_22,4,1,3,1,NE,Correct,Correct,Partial,NE,True,FALSE
pandas_22,4,2,3,3,NE,Correct,Correct,Partial+Vague,NE,True,FALSE
pandas_22,4,3,3,1,Correct,Correct,Correct,NE,NE,True,FALSE
pandas_22,4,4,3,1,NE,Correct,Correct,Partial,NE,True,FALSE
pandas_22,4,5,3,2,Correct,Correct,NE,NE,NE,True,FALSE
pandas_142,3.5,1,1,0,Correct,Correct,Correct,Correct,NE,True,FALSE
pandas_142,3.5,2,1,1,NE,Correct,Correct,Correct,NE,True,FALSE
pandas_142,3.5,3,1,1,NE,Partial,Unrelated,Wrong,NE,FALSE,True
pandas_142,3.5,4,1,1,Correct,Partial,Unrelated,NE,NE,FALSE,FALSE
pandas_142,3.5,5,1,1,NE,Correct,NE,Correct,NE,True,True
pandas_142,4,1,1,1,Correct,Correct,Correct,Correct,NE,True,FALSE
pandas_142,4,2,1,1,NE,Correct,Correct,Correct+Vague,NE,True,FALSE
pandas_142,4,3,1,1,Correct,Correct,Correct,Correct,NE,True,FALSE
pandas_142,4,4,1,1,Correct,Correct,Correct,Correct,NE,True,FALSE
pandas_142,4,5,1,1,Correct,Correct,Correct,NE,NE,True,FALSE
pandas_152,3.5,1,1,1,Correct,Correct,Correct,Correct,Correct,True,FALSE
pandas_152,3.5,2,1,1,NE,NE,Correct,NE,NE,FALSE,FALSE
pandas_152,3.5,3,1,1,Correct,Correct,Correct,Correct,Correct,True,FALSE
pandas_152,3.5,4,1,1,Correct,Correct,Correct,Wrong,NE,FALSE,True
pandas_152,3.5,5,1,1,NE,NE,NE,NE,NE,,
pandas_152,4,1,1,0,Correct,Correct,Correct,NE,NE,FALSE,FALSE
pandas_152,4,2,1,1,Correct,Correct,Correct,NE,NE,True,FALSE
pandas_152,4,3,1,1,Correct,Correct,Correct,Correct,Correct,True,FALSE
pandas_152,4,4,1,1,Correct,Correct,Correct,NE,NE,True,FALSE
pandas_152,4,5,1,1,Correct,Correct,Correct,Correct,NE,True,FALSE
pandas_158,3.5,1,1,0,Correct,Correct,Correct,Wrong,Wrong,FALSE,True
pandas_158,3.5,2,1,1,Correct,Correct,Correct,Wrong+,Wrong,FALSE,True
pandas_158,3.5,3,1,1,Correct,Correct,NE,NE,NE,FALSE,FALSE
pandas_158,3.5,4,1,0,NE,NE,NE,NE,NE,FALSE,FALSE
pandas_158,3.5,5,1,0,NE,Correct,Correct,Wrong,NE,FALSE,True
pandas_158,4,1,1,1,Correct,Correct,Correct,Partial,NE,FALSE,FALSE
pandas_158,4,2,1,1,Vague,Correct,Correct,Wrong,NE,FALSE,True
pandas_158,4,3,1,1,Correct,Correct,Correct,Partial+Vague,NE,FALSE,FALSE
pandas_158,4,4,1,1,Vague,Correct,Correct,Wrong,NE,FALSE,True
pandas_158,4,5,1,0,NE,Wrong,Unrelated,Wrong,NE,FALSE,True